iota,kappa,early_acc_gated,early_rej_gated,early_acc_norm,early_rej_norm,diag_acc_gated,diag_acc_norm
0.0,0.0,0.7125,0.0875,0.7125,0.0875,0.9091,0.8182
0.0,0.5,0.7125,0.0875,0.7125,0.0875,0.9091,0.8182
0.0,1.0,0.7125,0.0875,0.7125,0.0875,0.9091,0.8182
0.0,1.5,0.7125,0.0875,0.7125,0.0875,0.9091,0.8182
0.25,0.0,0.7125,0.0875,0.75,0.0875,1.0,0.9091
0.25,0.5,0.7125,0.0875,0.75,0.0875,1.0,0.9091
0.25,1.0,0.7125,0.0875,0.75,0.0875,1.0,0.9091
0.25,1.5,0.7125,0.0875,0.75,0.0875,1.0,0.9091
0.5,0.0,0.6375,0.15,0.675,0.15,0.7273,0.6364
0.5,0.5,0.6375,0.15,0.675,0.15,0.7273,0.6364
0.5,1.0,0.6375,0.15,0.675,0.15,0.7273,0.6364
0.5,1.5,0.6375,0.15,0.675,0.15,0.7273,0.6364
1.0,0.0,0.0625,0.7625,0.0625,0.7625,0.0,0.0
1.0,0.5,0.0625,0.7625,0.0625,0.7625,0.0,0.0
1.0,1.0,0.0625,0.7625,0.0625,0.7625,0.0,0.0
1.0,1.5,0.0625,0.7625,0.0625,0.7625,0.0,0.0
