modelo,nivel,semilla,banco,protocolo,acierto,rechazo,error,error_hacia_menos_presenciado,saltos_media,consultas_en_rechazo,n,persp_divergencia_jaccard,persp_conocidos_por_agente,persp_entropia_media
azar,0.0,42,texto_formacion,directo,0.125,0.7,0.175,0.0,0.0,1.0,1920,1.0,1.0,0.0
azar,0.0,42,texto_formacion,encadenado,0.125,0.7,0.175,0.0,0.0,1.0,1920,1.0,1.0,0.0
azar,0.0,42,texto_formacion,agregado,0.125,0.7,0.175,0.0,0.0,1.0,1920,1.0,1.0,0.0
azar,0.0,42,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,1.0,1.0,0.0
azar,0.0,42,texto_reservado,directo,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1368,1.0,1.0,0.0
azar,0.0,42,texto_reservado,encadenado,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1368,1.0,1.0,0.0
azar,0.0,42,texto_reservado,agregado,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1368,1.0,1.0,0.0
azar,0.0,42,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,1.0,1.0,0.0
azar,0.0,42,imagen_test,directo,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,1.0,1.0,0.0
azar,0.0,42,imagen_test,encadenado,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,1.0,1.0,0.0
azar,0.0,42,imagen_test,agregado,0.10234375,0.89765625,0.0,nan,0.0,1.0,1280,1.0,1.0,0.0
azar,0.0,42,imagen_test,pizarron,0.81875,0.18125,0.0,nan,0.0,1.0,160,1.0,1.0,0.0
azar,0.0,43,texto_formacion,directo,0.125,0.7,0.175,0.0,0.0,1.0,1920,1.0,1.0,0.0
azar,0.0,43,texto_formacion,encadenado,0.125,0.7,0.175,0.0,0.0,1.0,1920,1.0,1.0,0.0
azar,0.0,43,texto_formacion,agregado,0.125,0.7,0.175,0.0,0.0,1.0,1920,1.0,1.0,0.0
azar,0.0,43,texto_formacion,pizarron,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,nan,240,1.0,1.0,0.0
azar,0.0,43,texto_reservado,directo,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1368,1.0,1.0,0.0
azar,0.0,43,texto_reservado,encadenado,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1368,1.0,1.0,0.0
azar,0.0,43,texto_reservado,agregado,0.12426900584795321,0.7865497076023392,0.0891812865497076,0.0,0.0,1.0,1368,1.0,1.0,0.0
azar,0.0,43,texto_reservado,pizarron,0.935672514619883,0.0,0.06432748538011696,0.0,0.0,nan,171,1.0,1.0,0.0
