run,k,acc_text,acc_img,acc_pair,rej_text,rej_img,rej_pair,entropy,count_apple,count_car,count_cow,count_cup,count_dog,count_horse,count_pear,count_tomato
A_uni_text,8,0.25,,,0.4375,,,1.5613,3,3,2,0,0,0,0,0
A_uni_text,16,0.4625,,,0.275,,,2.5613,3,3,3,2,3,2,0,0
A_uni_text,24,0.575,,,0.2375,,,2.9591,3,3,3,2,3,2,4,4
A_uni_text,32,0.6875,,,0.2,,,2.8942,6,5,6,2,3,2,4,4
A_uni_text,40,0.75,,,0.1125,,,2.9782,6,5,6,4,6,5,4,4
A_uni_text,48,0.775,,,0.1,,,2.9695,7,5,6,4,6,5,7,8
A_uni_text,56,0.7625,,,0.075,,,2.9472,10,7,9,4,6,5,7,8
A_uni_text,64,0.8,,,0.0625,,,2.9776,10,7,9,7,10,6,7,8
A_uni_text,72,0.8,,,0.0625,,,2.9751,10,7,9,7,10,7,11,11
A_uni_text,80,0.825,,,0.05,,,2.9699,12,9,12,7,10,7,11,12
A_uni_text,88,0.85,,,0.0375,,,2.9834,12,9,13,9,13,9,11,12
A_uni_text,96,0.85,,,0.0375,,,2.9723,12,9,13,9,13,10,14,16
A_uni_text,104,0.8625,,,0.0375,,,2.9773,14,11,16,10,13,10,14,16
A_uni_text,112,0.8625,,,0.0375,,,2.9843,14,11,16,12,17,12,14,16
A_uni_text,120,0.8625,,,0.0375,,,2.9727,15,11,16,12,17,12,17,20
A_uni_text,128,0.875,,,0.0375,,,2.9769,17,14,19,12,17,12,17,20
A_uni_text,136,0.8875,,,0.025,,,2.9823,17,14,20,15,20,13,17,20
A_uni_text,144,0.875,,,0.025,,,2.98,17,14,20,15,20,15,20,23
A_uni_text,152,0.875,,,0.025,,,2.983,19,16,23,16,20,15,20,23
A_uni_text,160,0.9125,,,0.025,,,2.9868,19,16,23,18,23,17,21,23
A_uni_text,168,0.925,,,0.025,,,2.9787,20,16,23,18,23,17,24,27
