fraccion,agente,dominio,propio,registros_directorio,reconocido,acierto_clf,ratio_centroide
0.0,apple,apple,True,128,1.0,1.0,0.3598487049341202
0.0,apple,car,False,128,0.0,nan,nan
0.0,apple,cow,False,128,0.0,nan,nan
0.0,apple,cup,False,128,0.0,nan,nan
0.0,apple,dog,False,128,0.0,nan,nan
0.0,apple,horse,False,128,0.0,nan,nan
0.0,apple,pear,False,128,0.0,nan,nan
0.0,apple,tomato,False,128,0.0,nan,nan
0.0,car,apple,False,128,0.0,nan,nan
0.0,car,car,True,128,1.0,1.0,0.45985120832920073
0.0,car,cow,False,128,0.0,nan,nan
0.0,car,cup,False,128,0.0,nan,nan
0.0,car,dog,False,128,0.0,nan,nan
0.0,car,horse,False,128,0.0,nan,nan
0.0,car,pear,False,128,0.0,nan,nan
0.0,car,tomato,False,128,0.0,nan,nan
0.0,cow,apple,False,128,0.0,nan,nan
0.0,cow,car,False,128,0.0,nan,nan
0.0,cow,cow,True,128,1.0,1.0,0.31831422746181487
0.0,cow,cup,False,128,0.0,nan,nan
0.0,cow,dog,False,128,0.0,nan,nan
0.0,cow,horse,False,128,0.0,nan,nan
0.0,cow,pear,False,128,0.0,nan,nan
0.0,cow,tomato,False,128,0.0,nan,nan
0.0,cup,apple,False,128,0.0,nan,nan
0.0,cup,car,False,128,0.0,nan,nan
0.0,cup,cow,False,128,0.0,nan,nan
0.0,cup,cup,True,128,1.0,1.0,0.4289687663316727
0.0,cup,dog,False,128,0.0,nan,nan
0.0,cup,horse,False,128,0.0,nan,nan
0.0,cup,pear,False,128,0.0,nan,nan
0.0,cup,tomato,False,128,0.0,nan,nan
0.0,dog,apple,False,128,0.0,nan,nan
0.0,dog,car,False,128,0.0,nan,nan
0.0,dog,cow,False,128,0.0,nan,nan
0.0,dog,cup,False,128,0.0,nan,nan
0.0,dog,dog,True,128,1.0,1.0,0.4303111910820007
0.0,dog,horse,False,128,0.0,nan,nan
0.0,dog,pear,False,128,0.0,nan,nan
0.0,dog,tomato,False,128,0.0,nan,nan
0.0,horse,apple,False,128,0.0,nan,nan
