perdido,imagen,politica,rep,responde,hit_perdido,hit_sustituto,palabras,consultas,a_perdido,a_otro,rechazadas
apple,apple2-090-000.png,vivido,0,True,True,False,red skin green,,,,
apple,apple2-090-000.png,sustitucion,0,False,False,False,,,,,
apple,apple2-090-000.png,descripcion,0,True,True,False,fruit green tree,,,,
apple,apple4-066-207.png,vivido,0,True,True,False,red fruit green,,,,
apple,apple4-066-207.png,sustitucion,0,False,False,False,,,,,
apple,apple4-066-207.png,descripcion,0,True,True,False,green vegetable delicious,,,,
apple,apple4-090-000.png,vivido,0,True,True,False,fruit green pome,,,,
apple,apple4-090-000.png,sustitucion,0,False,False,False,,,,,
apple,apple4-090-000.png,descripcion,0,True,True,False,green red delicious,,,,
apple,apple2-022-000.png,vivido,0,True,True,False,green fruit pome,,,,
apple,apple2-022-000.png,sustitucion,0,False,False,False,,,,,
apple,apple2-022-000.png,descripcion,0,True,True,False,fruit red green,,,,
apple,apple4-068-090.png,vivido,0,True,True,False,tree green fruitwood,,,,
apple,apple4-068-090.png,sustitucion,0,False,False,False,,,,,
apple,apple4-068-090.png,descripcion,0,True,True,False,vegetable green red,,,,
apple,apple9-000-000.png,vivido,0,True,True,False,green red vegetable,,,,
apple,apple9-000-000.png,sustitucion,0,False,False,False,,,,,
apple,apple9-000-000.png,descripcion,0,True,True,False,fruit tree fruitwood,,,,
apple,apple8-090-225.png,vivido,0,True,True,False,apple fruit green,,,,
apple,apple8-090-225.png,sustitucion,0,False,False,False,,,,,
apple,apple8-090-225.png,descripcion,0,True,True,False,fruit red green,,,,
apple,apple10-045-090.png,vivido,0,True,True,False,pie hamburger pear,,,,
apple,apple10-045-090.png,sustitucion,0,False,False,False,,,,,
apple,apple10-045-090.png,descripcion,0,True,True,False,green fruitwood red,,,,
apple,__ruteo__,ruteo,0,,,,,10,8,0,2
car,car14-090-270.png,vivido,0,False,False,False,,,,,
car,car14-090-270.png,sustitucion,0,False,False,False,,,,,
car,car14-090-270.png,descripcion,0,True,True,False,wheel engine vehicle,,,,
car,car3-066-207.png,vivido,0,True,True,False,car motor vehicle,,,,
car,car3-066-207.png,sustitucion,0,False,False,False,,,,,
car,car3-066-207.png,descripcion,0,True,True,False,wheel wheels vehicle,,,,
car,car6-066-243.png,vivido,0,True,True,False,car automobile vehicle,,,,
car,car6-066-243.png,sustitucion,0,False,False,False,,,,,
car,car6-066-243.png,descripcion,0,True,True,False,wheel vehicle motor,,,,
car,car7-090-248.png,vivido,0,True,True,False,vehicle car drive,,,,
car,car7-090-248.png,sustitucion,0,False,False,False,,,,,
car,car7-090-248.png,descripcion,0,True,True,False,wheel vehicle tire,,,,
car,car7-090-202.png,vivido,0,True,True,False,vehicle car wheels,,,,
car,car7-090-202.png,sustitucion,0,False,False,False,,,,,
